timestamp,pir,radar_conf,photo,score,threshold
2024780,1,1,0.054419756,8.8,8
2032900,0,1,0.08392763,8.8,8
2036902,0,1,0.08319521,8.8,8
2085690,0,1,0.041846336,8.8,8
2093810,0,1,0.07628596,8.8,8
2101860,0,0.875,0.07460135,8.6,8
2110240,0,1,0.07286793,8.650001,8
2114300,0,1,0.07247734,8.68,8
2122416,0,1,0.07135421,8.7,8
2130520,0,1,0.07010913,8.714286,8
2138660,0,1,0.068790732,8.725,8
2162930,0,1,0.03134811,8.8,8
2235800,0,1,0.022314786,8.8,8
2243890,0,1,0.060108304,8.8,8
2252060,0,1,0.05900967,8.8,8
2280610,0,1,0.018432916,8.8,8
2337160,0,1,0.0135988,8.8,8
2575609,0,0.875,0,8.2,8
2579660,0,0.75,0.035913648,7.9,8
2587770,0,1,0.033814012,8.2,8
2595850,1,0.125,0.032544434,6.1,8
2599900,0,0.375,0.030786634,5.8,8
2607990,0,0.125,0.02919966,5.4,8
2616120,0,0.875,0.02756387,5.6285716,8
2624170,0,1,0.026001394,5.875,8
2628171,0,1,0.026001394,6.066667,8
2636311,0,1,0.02465856,6.2200004,8
2644484,1,1,0.022998392,6.28,8
2648862,0,1,0.022119522,6.4,8
2656691,0,1,0.021167278,6.4,8
2664931,0,1,0.020410478,6.8199996,8
2673031,1,1,0.019238592,7.12,8
2681163,0,1,0.017724932,8.740001,8
2685241,0,1,0.01699245,8.8,8
2693381,1,1,0.016552984,8.8,8
2697462,0,1,0.016382098,8.8,8
2705551,0,1,0.015063703,8.8,8
2713561,1,1,0.01396507,8.8,8
2721741,0,1,0.012817562,8.8,8
2871319,0,1,0,8.8,8
2879420,1,1,0.0042969584,8.8,8
2883490,0,1,0.004174888,8.8,8
3154629,0,1,0,8.8,8
3158729,0,0.125,0,5.5,8
3166789,1,0.875,0,6,8
3174920,0,1,0,6.4,8
3178959,0,0.5,0,6.16,8
3187029,0,0,0,5.6,8
3195120,1,0.25,0,5.371429,8
3199120,0,1,0,5.65,8
3243649,1,1,0,8.8,8
3393439,1,1,0,8.8,8
3401559,0,1,0,8.8,8
3405559,0,0.125,0,6.2000004,8
3620209,0,0,0,0,8
3628329,1,0.875,0,4.9,8
3636479,0,0.125,0,4.4,8
3640559,0,0.875,0,5.05,8
3648689,0,0.125,0,4.7200004,8
3656799,1,0,0,4.4,8
3661070,0,0,0,4.1714288,8
3668980,0,0,0,4,8
3693269,1,0,0,0,8
3701389,0,0.625,0,2.7,8
3705419,0,0.875,0,5.2000004,8
3713579,0,0.125,0,4.75,8
3721692,1,0,0,4.36,8
3725755,0,0.875,0,4.8,8
3774169,0,0.125,0,0,8
3782279,0,0.875,0,5.2000004,8
3794484,1,1,0,8.8,8
3802541,0,1,0,8.8,8
3806579,0,1,0,8.8,8
3822999,0,1,0,8.8,8
3827069,0,1,0,8.8,8
3835129,0,1,0,8.8,8
3843249,0,1,0,8.8,8
3851329,0,1,0,8.8,8
3859412,0,1,0,8.8,8
3964749,0,1,0,8.8,8
3976879,1,1,0,8.8,8
3980979,0,1,0,8.8,8
3989049,0,1,0,8.8,8
3997129,1,1,0,8.8,8
4001199,0,1,0,8.8,8
4009219,0,1,0,8.8,8
4017331,0,1,0,8.8,8
4021370,0,1,0,8.8,8
4029450,0,1,0,8.8,8
4037620,1,1,0,8.8,8
4045770,0,1,0,8.8,8
4049770,0,1,0,8.8,8
4065939,0,1,0,8.8,8
4073999,0,1,0,8.8,8
4082161,1,0.75,0,8.400001,8
4086161,0,1,0,8.5,8
4126779,0,1,0,8.8,8
4134849,1,1,0,8.8,8
4143029,0,1,0,8.8,8
4147099,0,1,0,8.8,8
4155229,0,1,0,8.8,8
4163369,0,1,0,8.8,8
4471779,0,0.125,0,0,8
4552609,0,0.875,0,8.2,8
4556699,0,0.125,0,5.2000004,8
4564839,1,0.875,0,5.8,8
4569019,0,1,0,6.25,8
4577071,0,0.625,0,6.16,8
4585162,0,0.875,0,6.3,8
4593291,0,0.125,0,5.8857144,8
4653959,0,0,0,0,8
4662019,1,0.875,0,4.9,8
4666079,0,1,0,5.8,8
4702559,0,1,0,8.8,8
4706639,0,0.875,0,8.5,8
4714729,0,0,0,5.8,8
4722790,1,0.875,0,6.1,8
4730909,0,1,0,6.4,8
4743039,0,0.125,0,0,8
4747099,0,0.125,0,0,8
4755209,0,0.125,0,0,8
4763339,1,0,0,0,8
4767339,0,0.875,0,4,8
4775520,1,0.125,0,0,8
4783599,0,0,0,0,8
4787659,0,0,0,0,8
4795850,0,0,0,0,8
4799950,0,0,0,0,8
4808020,0,0.875,0,0,8
4816150,1,0.125,0,0,8
4820180,0,0.125,0,0,8
4832324,0,0.125,0,0,8
4840409,0,0,0,0,8
4913389,0,0,0,0,8
4917479,0,0,0,0,8
5103459,0,0,0,0,8
5111619,1,0,0,0,8
5115679,0,0,0,0,8
5123849,0,0,0,0,8
5131989,0,0,0,0,8
5140079,0,0,0,0,8
5144149,0,1,0,0,8
5152250,0,1,0,4,8
5160290,0,1,0,4.4,8
5224759,0,1,0,8.8,8
5228779,0,1,0,8.8,8
5313689,1,0.125,0,0,8
5321779,0,0.875,0,5.2000004,8
5326049,0,1,0,6,8
5463829,1,0.125,0,0,8
5471909,0,0,0,0,8
5476149,0,0,0,0,8
5536419,0,0,0,0,8
5544489,0,0,0,0,8
5552519,0,0.25,0,0,8
5560599,1,0,0,0,8
5568709,0,0,0,0,8
5576769,0,0,0,0,8
5584859,0,0,0,0,8
5592972,0,0.875,0,0,8
5597089,0,1,0,0,8
5605180,0,1,0,4.3,8
5613280,1,1,0,4.78,8
5661919,0,0.125,0,0,8
5665969,0,0.875,0,5.2000004,8
5674049,0,1,0,6,8
5682090,0,1,0,6.4,8
5686470,0,1,0,6.6400004,8
5694570,0,0.625,0,6.5,8
5702690,1,0.875,0,6.571429,8
5706790,0,1,0,6.7000004,8
5735039,0,1,0,8.8,8
5739129,0,1,0,8.8,8
5747199,0,1,0,8.8,8
5755369,1,1,0,8.8,8
5759419,0,1,0,8.8,8
5767439,0,1,0,8.8,8
5775530,0,1,0,8.8,8
5795769,0,0.75,0,7.6,8
5913160,0,1,0,8.8,8
5945589,0,1,0,8.8,8
6062899,0,1,0,8.8,8
6071099,1,1,0,8.8,8
6083289,1,1,0,8.8,8
6087339,0,1,0,8.8,8
6095429,0,1,0,8.8,8
6103519,1,0.125,0,6.55,8
6107520,0,0.875,0,6.6400004,8
6115609,0,1,0,6.8,8
6123690,0,1,0,6.914285,8
6184380,0,1,0,8.8,8
6423149,0,1,0,8.8,8
6431199,1,0.625,0,6.7000004,8
6439259,0,1,0,7,8
6443499,0,1,0,7.15,8
6451559,0,0,0,6.28,8
6459670,1,0,0,5.7000004,8
6463690,0,0,0,5.2857148,8
6471790,0,1,0,5.5750004,8
6479820,1,1,0,5.8,8
6483905,0,1,0,5.9800004,8
6491980,0,1,0,5.9800004,8
6500025,1,1,0,6.1600004,8
6504115,0,1,0,6.1600004,8
6512130,0,0.75,0,6.0400004,8
6520180,1,0.875,0,6.46,8
6528240,0,1,0,6.94,8
6694339,1,1,0,8.8,8
6698369,0,1,0,8.8,8
6706499,0,1,0,8.8,8
6714629,0,0.5,0,7,8
6933049,0,1,0,8.8,8
6941139,0,1,0,8.8,8
6949289,1,1,0,8.8,8
6953309,0,1,0,8.8,8
6961469,0,1,0,8.8,8
7082609,0,1,0,8.8,8
7324959,1,1,0,8.8,8
7333129,0,1,0,8.8,8
7337209,0,1,0,8.8,8
7345309,0,1,0,8.8,8
7353371,1,1,0,8.8,8
7357439,0,1,0,8.8,8
7365520,0,1,0,8.8,8
7373620,0,0.125,0,7.07500036,8
7381780,0,0.875,0,7.066667,8
7385790,0,1,0,7.12,8
7393890,1,1,0,7.12,8
7402030,0,1,0,7.12,8
7592529,0,1,0,8.8,8
7600634,0,1,0,8.8,8
7608749,1,1,0,8.8,8
7616869,0,0.5,0,7,8
7620929,0,0.875,0,7,8
7629030,1,1,0,7.1,8
7637130,0,1,0,7.1714284,8
7641235,0,1,0,7.225,8
7649310,0,1,0,7.2666668,8
7657870,0,1,0,7.3,8
7686032,0,1,0,8.8,8
7690109,0,0.625,0,6.7000004,8
7698179,0,1,0,7,8
7706259,1,1,0,7.15,8
7714290,0,1,0,7.2400004,8
7726499,0,1,0,8.8,8
7734719,0,1,0,8.8,8
7738824,0,1,0,8.8,8
7747029,1,1,0,8.8,8
7755119,0,0.25,0,6.8800008,8
7759149,0,1,0,7,8
7767310,1,1,0,7.085715,8
7775420,0,1,0,7.15,8
7908935,1,1,0,8.8,8
7917049,0,1,0,8.8,8
7921109,0,1,0,8.8,8
7929269,1,1,0,8.8,8
7937299,0,1,0,8.8,8
7941309,0,1,0,8.8,8
7949440,0,1,0,8.8,8
7957570,0,1,0,8.8,8
7965640,0,0.125,0,7.1333336,8
7969665,0,0.875,0,7.12,8
7977810,0,0.75,0,7,8
7985990,0,1,0,7,8
7990070,0,1,0,7,8
7998161,0,1,0,7,8
8006262,0,1,0,7,8
8010340,0,1,0,7,8
8018440,1,1,0,7,8
8026520,0,0.125,0,6.5800004,8
8030540,0,0.25,0,6.6400004,8
8042749,0,0.875,0,8.2,8
8050790,0,1,0,8.5,8
8058849,0,0.625,0,6.8,8
8066899,0,0.875,0,8.05,8
8224599,0,1,0,8.8,8
8232659,1,1,0,8.8,8
8236750,0,1,0,8.8,8
8244759,0,1,0,8.8,8
8252859,0,1,0,8.8,8
8260929,1,1,0,8.8,8
8402589,0,1,0,8.8,8
8406701,0,1,0,8.8,8
8414639,0,1,0,8.8,8
8422809,1,1,0,8.8,8
8426909,0,1,0,8.8,8
8435051,0,1,0,8.8,8
8580819,0,1,0,8.8,8
8588959,0,1,0,8.8,8
8597129,0,1,0,8.8,8
8613269,0,1,0,8.8,8
8621439,0,0.125,0,5.5,8
8629619,1,0.875,0,6,8
8633719,0,0.125,0,5.35,8
8674179,0,0.875,0,8.2,8
8682279,0,1,0,8.5,8
9244369,0,1,0,8.8,8
9252389,1,1,0,8.8,8
9256479,0,1,0,8.8,8
9264569,0,1,0,8.8,8
9272679,1,1,0,8.8,8
9276859,0,1,0,8.8,8
9284930,0,1,0,8.8,8
9292980,0,0.75,0,8.650001,8
9301090,0,1,0,8.666667,8
9600369,0,1,0,8.8,8
9608439,0,1,0,8.8,8
9665269,1,1,0,8.8,8
9673359,0,1,0,8.8,8
9677429,0,1,0,8.8,8
9685539,0,1,0,8.8,8
9693609,1,0.375,0,7,8
9701690,0,0.875,0,7,8
9705710,0,0.125,0,6.485715,8
9713880,1,0.875,0,6.55,8
9754399,0,1,0,8.8,8
9762499,0,1,0,8.8,8
10203449,0,1,0,8.8,8
10211599,0,1,0,8.8,8
10219669,1,1,0,8.8,8
10223679,0,1,0,8.8,8
10506929,1,1,0,8.8,8
10510994,0,1,0,8.8,8
10519069,0,1,0,8.8,8
10527179,0,1,0,8.8,8
10563439,0,1,0,8.8,8
10571519,0,1,0,8.8,8
10579589,0,1,0,8.8,8
10587719,1,1,0,8.8,8
10595739,0,1,0,8.8,8
10599799,0,1,0,8.8,8
10607920,1,1,0,8.8,8
10611940,0,1,0,8.8,8
10620070,0,1,0,8.8,8
10628090,1,1,0,8.8,8
10636261,0,1,0,8.8,8
10640290,0,0.125,0,7.1800002,8
10648430,0,0.125,0,6.7599996,8
10867129,0,0.875,0,8.2,8
10871169,0,1,0,8.5,8
10879259,0,1,0,8.6,8
10887359,1,1,0,8.650001,8
10895469,0,1,0,8.68,8
10899500,0,1,0,8.7,8
10923759,0,1,0,8.8,8
10931849,0,1,0,8.8,8
10939869,0,1,0,8.8,8
10947929,1,1,0,8.8,8
10951999,0,1,0,8.8,8
